Type,Year,Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Wine,1998,3.5,0.42
Wine,1999,3.4,0.41
Wine,2000,3.6,0.43
Wine,2001,3.9,0.47
Wine,2002,4.3,0.52
Wine,2003,5,0.60
Wine,2004,5.4,0.65
Wine,2005,5.9,0.71
Wine,2006,5.7,0.68
Wine,2007,6.6,0.79
Wine,2008,7.2,0.86
Wine,2009,7.2,0.86
Wine,2010,7.2,0.86
Wine,2011,6.79,0.81
Wine,2012,6.5,0.78
Wine,2013,5.8,0.70
Wine,2014,6.2,0.74
Wine,2015,5.9,0.71
Wine,2016,5.8,0.70
Wine,2017,5.7,0.68
Wine,2018,6.2,0.75
Wine,2019,6.1,0.74
Wine,2020,5.9,0.70
Wine,2021,5.3,0.63
Wine,2022,4.8,0.58
Wine,2023,4.1,0.50
Sparkling wine,1998,1.2,0.14
Sparkling wine,1999,1.1,0.13
Sparkling wine,2000,1.2,0.14
Sparkling wine,2001,1.3,0.16
Sparkling wine,2002,1.2,0.14
Sparkling wine,2003,1.3,0.16
Sparkling wine,2004,1.3,0.16
Sparkling wine,2005,1.4,0.17
Sparkling wine,2006,1.4,0.17
Sparkling wine,2007,1.7,0.20
Sparkling wine,2008,1.8,0.22
Sparkling wine,2009,1.8,0.22
Sparkling wine,2010,1.9,0.23
Sparkling wine,2011,1.99,0.24
Sparkling wine,2012,2,0.24
Sparkling wine,2013,1.9,0.23
Sparkling wine,2014,1.8,0.22
Sparkling wine,2015,1.6,0.19
Sparkling wine,2016,1.5,0.18
Sparkling wine,2017,1.1,0.13
Sparkling wine,2018,1.1,0.13
Sparkling wine,2019,1.1,0.13
Sparkling wine,2020,1.2,0.14
Sparkling wine,2021,1.3,0.15
Sparkling wine,2022,1.4,0.16
Sparkling wine,2023,1.5,0.18
Brandy,1998,0.3,0.12
Brandy,1999,0.2,0.08
Brandy,2000,0.3,0.12
Brandy,2001,0.3,0.12
Brandy,2002,0.4,0.16
Brandy,2003,0.4,0.16
Brandy,2004,0.4,0.16
Brandy,2005,0.5,0.20
Brandy,2006,0.5,0.20
Brandy,2007,0.6,0.24
Brandy,2008,0.8,0.32
Brandy,2009,0.7,0.28
Brandy,2010,0.8,0.32
Brandy,2011,0.81,0.32
Brandy,2012,0.9,0.36
Brandy,2013,0.8,0.32
Brandy,2014,0.8,0.32
Brandy,2015,0.7,0.28
Brandy,2016,0.7,0.28
Brandy,2017,0.7,0.27
Brandy,2018,0.8,0.30
Brandy,2019,0.8,0.32
Brandy,2020,0.8,0.32
Brandy,2021,0.8,0.33
Brandy,2022,0.9,0.34
Brandy,2023,0.9,0.38
Vodka and Liqueurs,1998,14.7,5.88
Vodka and Liqueurs,1999,15.2,6.08
Vodka and Liqueurs,2000,14.6,5.84
Vodka and Liqueurs,2001,14.3,5.72
Vodka and Liqueurs,2002,14.5,5.80
Vodka and Liqueurs,2003,15,6.00
Vodka and Liqueurs,2004,14.4,5.76
Vodka and Liqueurs,2005,14.2,5.68
Vodka and Liqueurs,2006,13.8,5.52
Vodka and Liqueurs,2007,12.9,5.16
Vodka and Liqueurs,2008,12.4,4.96
Vodka and Liqueurs,2009,11.6,4.64
Vodka and Liqueurs,2010,11,4.40
Vodka and Liqueurs,2011,10.94,4.38
Vodka and Liqueurs,2012,10.7,4.28
Vodka and Liqueurs,2013,9.3,3.72
Vodka and Liqueurs,2014,7.7,3.08
Vodka and Liqueurs,2015,6.6,2.64
Vodka and Liqueurs,2016,6.6,2.64
Vodka and Liqueurs,2017,5.0,2.02
Vodka and Liqueurs,2018,5.4,2.17
Vodka and Liqueurs,2019,5.4,2.18
Vodka and Liqueurs,2020,5.6,2.25
Vodka and Liqueurs,2021,5.7,2.28
Vodka and Liqueurs,2022,6.1,2.43
Vodka and Liqueurs,2023,6.1,2.45
Beer and Сider,1998,27.6,1.38
Beer and Сider,1999,30.6,1.53
Beer and Сider,2000,35.8,1.79
Beer and Сider,2001,43.5,2.18
Beer and Сider,2002,48.7,2.44
Beer and Сider,2003,52.7,2.64
Beer and Сider,2004,58.4,2.92
Beer and Сider,2005,62.2,3.11
Beer and Сider,2006,70.1,3.51
Beer and Сider,2007,80.9,4.05
Beer and Сider,2008,79.7,3.99
Beer and Сider,2009,71.8,3.59
Beer and Сider,2010,70.3,3.52
Beer and Сider,2011,70.75,3.54
Beer and Сider,2012,71.1,3.56
Beer and Сider,2013,68.6,3.43
Beer and Сider,2014,61.3,3.07
Beer and Сider,2015,55.3,2.77
Beer and Сider,2016,53.2,2.66
Beer and Сider,2017,49.0,2.45
Beer and Сider,2018,49.6,2.48
Beer and Сider,2019,48.8,2.44
Beer and Сider,2020,50.6,2.53
Beer and Сider,2021,51.6,2.58
Beer and Сider,2022,51.3,2.56
Beer and Сider,2023,52.8,2.64